id,review,label
1,"About the shop: There is a restaurant in Soi Langsuan (Road) inside of Luxx Hotel. The d̩cor of the restaurant: decorated in a rustic style, white walls, glass tables, red chairs, parquet floors, dim lights open at night, the romantic atmosphere: Duck l&#39;orange Pork Wellington and French onion soup. Average Price: 250-450 Baht Food Review: Duck l&#39;orange (455) Duck breast sliced Pork Wellington (445) is a piece of tender pork stuffed with stuffing and wrapped in a thin pastry and then baked to serve with the sauce. Duck roll (285) is a Duck wrapped with vegetables and dough wrap not much delicious French onion soup (235) Sweet taste Garnish with cheese Bake Scallop (225) is a scallop in a thick cream with cheese. Serve with a thin toast to eat together. Score by topic: &lt;Atmosphere&gt; 8/10 Atmosphere nice romantic &lt;food taste&gt; 7/10&lt;Service&gt; 9/10 Good service, good food recommendation &lt;Value&gt; 6/10 price is quite expensive and about 1,000 baht if not ordered the original special. Conclusion: The atmosphere is good, some delicious food. Three and a half stars for some delicious food. Note: This review is for personal use only. We do not like it. If not, please forgive me. I think that is one comment. To win the competition. I have a very good restaurant now. Thank you",restaurant
2,"About the shop: Through this store for about three years. This is the first time to try it. The restaurant is located in Soi Sansabai (Sukhumvit 36), in the middle of Soi Talu from Rama IV Road. Serves American, Texas, BBQ and BBQ steaks outside of Bangkok. Ameican Country American Cuisine: Pork spare ribs Average Price: Main 400-800 Home Brew Beer in Bottle 200-250 Baht Food Crate: Half rack of pork sparerib (425 baht) To soften Served with sweet corn, baked bean and bread. Filet Mignon (795 THB) Very tender medium medium rare chicken wings. Chicken wings (115 THB) There are 6 wings or spears with 3 sauces. Very much I think that the best spicy taste offline by topic: &lt;Fan&gt; 10/10 under the long light, eat on a wooden table like in the United States. &lt;Food taste&gt; 7/10 good enough. &lt;Service&gt; 9/10 Very good service. Value for money &lt;Value for money&gt; 7/10 Summary: One of the few restaurants that sell American food in Bangkok. Almost three stars. Note: This review is for personal use only. We do not like it. If not, please forgive me. I think that is one comment. To win the competition. I have a very good restaurant now. Thank you",restaurant
3,"Roast Coffee &amp; Eatery is a restaurant located at Seenspace Thonglor, located on the second floor. It is a medium size restaurant with around 10 tables. The wine cellar will have a bottle of wine hanging down from the ceiling, chic, black, and black. The chic of this shop is the first to see the menu is like a newspaper. Looks good in the picture, it&#39;s good for photography. It is a light refreshment. (1 reason why I want to eat this restaurant because of this chic menu. The food is better than the menu is Brunch and Dinner for me then open the back 5. Evening to go. The menu is considered to have a menu. Not too much for this time, but the menu is recommended to me that is. - Duck Confit Price 318 baht a duck legs. The deliciousness of this dish is The crust of duck and soft inside. There is also a raspberry or canary sauce. It&#39;s delicious, it&#39;s delicious, it&#39;s baked with a piece of bread. Delicious It is sweet, sour, perfect, recommend it delicious - Croque Monsieur Price 262Baht is a ham cheese bread. But cheese is more unusual than the top cheese and very accessible. For people who like to eat cheese is very much. The volume is very large. This plate - Vodka Arrabiatta Seafood Price 328 Baht is a spaghetti seafood tomato sauce. Smell of Vasea. I personally think that this menu is common. You can eat in the Italian restaurant. Does not stand out But what I like is to have a lot of seafood and scallops for me to see that the people eat a lot and look very nice. Strawberry Waffle Price 206 Baht Strawberry Waffle Honey is poured over it. Overall I feel that it is common. I have a general store. The price is not cheap and not too expensive for me. All 4 dishes cost 1,441 baht, because it has a 10% and 7% Vat. 1,224 Baht *** The beauty of the shop is that the water bottle is small to expensive.I like to drink 3 bottles of 40 baht, usually not to 10 baht, so I feel that the way to make their own water or imported water will make it feel better. If you think Thai water in the price than usual.",restaurant
4,"Eat from the children. The shop is opposite. Phra Prathat Convent The new expropriation was moved to the opposite side of the football field. At present, there are two restaurants in this area. Another brother&#39;s shop on Rama IV Road, near the old Klongtoey. The taste of these two restaurants is modest, although the original recipes from the ancestors are the same. The soup flavor is a very distinct feature of this restaurant. Chinese herbs and spices have been improved to smell and taste is unique from the shop. Do not be surprised to see the volume of people eat this store is different from the store kind of brother does not match. The sweetness of the salty. I do not want to cook more for people like this type of meat prices start at 40.-up to 60.-Many people ordered a pot of food to eat more, but be careful to eat a lot. Too good to be true!",restaurant
5,"The Ak 1 shop at another branch tastes the same, but not as concentrated. I have been told that because of this, many of the pots are bigger and bigger. I think it is a good idea to add a pork stick to the final answer. I have a lot of delicious dishes to order. If you do not have a car, you can park your car in front of the shop. From the canon to the straight.",restaurant
6,"Shop Type: Japanese Buffet Buffet Opened in the business district. During the break, lunch and after work often see the staff at this restaurant always hang out at the store: when to go to the store is more time than the store. There are people who are reasonable. I will tell you how to eat the buffet. Order meat The atmosphere is very clean and comfortable. The seat is proportionate. It&#39;s a cool, air-conditioned room. When you go to eat, DJ&#39;s sit near each other. Jummy is pretty ever. 555+ Location: Midtown Asoke Building 2nd Floor Menu: Japanese Buffet Buffet Price: There are 3 prices: 299 (with pork), 399 (added beef) and 499 (added by the sea). For today, I eat buffet price 399 baht per person. NET for this price. You can eat both pork, beef and chicken.In order to eat this shabu, I ordered two types of soup, black soup and shabu soup. Black soup is very sweet taste. When boiling the meat in the black soup until cooked. The sweet and delicious of the soup mixed with the deliciousness of the meat is very well. Shabu soup is a soup with a sweet taste. Suitable for cooking vegetables. Boiled and then cooked with a delicious taste very fresh ever. The meat. Beef and pork, I ordered it all. The conclusion is the same. Boil it and do not taste much different. The meat here is thin. The red color. Not sticky mouth. The dipping sauce is also good here. And I&#39;m most attracted to sesame sauce. The sweet and delicious. I like the taste (4 points): 4 = The overall taste is OK. Service and good air cooling service. 4 = Staff speak good.Service Price: 3 = Price per person is a price that I think is high. Compared to the variety of foods available, choose the text. Comments and ratings Is a personal opinion If you do not like it, please come in. At this point, Mr. Lucky Review at 11/4/56",restaurant
7,"This restaurant is another place where many people love to eat dessert. In it, it is another Pat anyway. I told that long ago that. I have to eat this dessert, but I missed it 5 times due to a sudden business. (Sneaky lightly) But today is very determined to eat this restaurant. Get up early to eat this particular dessert. Please call to ask the service is closed. Open the door as usual ... On the way to read the comments in the band Buttercup in the shop that is ... I have to sit at the same table. Pat suddenly hurried to photograph the atmosphere before. I will be more than this .... Talk about the atmosphere in the store decorated very cute, comfortable to look at any mood. Have a good time with family / lovers. Relaxing mood. In addition to a variety of sweets to choose from a variety of menus. There are also a lot of food service. And let&#39;s say that all the dishes ordered. Do not be disappointed. With this coming. And if there is a chance to return again.",restaurant
8,"This shop is full of people. Have a try to try a Thai style restaurant. There are a variety of fusion style menus, both sweet and sour. The menu is &quot;say cheese 130 baht&quot;. Be careful because it is hot because it is crushed. The outside of the frame is not salty enough to dip with cheese and not very salty, it is a good starter. - Eat 85 baht is quite dry and crisp. Especially the taste like Pretz. If you choose this dish more delicious, but it is delicious and delicious. - Stewed pork ribs 240 baht pork stew in tomato sauce. Sweet and sour pork tenderloin. The carrot is not soft, but the taste is not special. Like tomato sauce in canned fish. Food prices are quite okay. The atmosphere is good with the next time I try to try another menu.",restaurant
9,"Good atmosphere, good service, food will come again.",restaurant
10,"If you ask the people of Hat Yai or who ever lived in Hat Yai, no one does not know this restaurant. The only downside I found from this store is that there are no wifi signals!",restaurant
